pid,label,desc,_date,rights,format,type,source,publisher,contributor,_tags,names,notes,order,layout,collection,thumbnail,full,manifest
wright001,The Modern School Graduation,"The graduation booklet includes the ceremony location and time, the names of the graduating students of The Modern School, the names of the staff staff of The Modern School, the programme, the school and class songs written by E.B. [Elnora] Sellers.",9-Jun-92,,,Special Events,,,Liv Wright ,"Ceremony, Graduation, Programme, School as Community","Elnora B. Sellers, Mildred L. Johnson",,0,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright001/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright001/full/1140,/0/default.jpg",/img/derivatives/iiif/wright001/manifest.json
wright005,The Modern School Brochure,"The brochure includes an introductory letter, a history of The Modern School, a statement of the school's beliefs, an explanation of the school's academic focus for each grade and school body, school structure, additional school information, a list of the Board of Trustees, and a public notice, alongside photographs of students. ",Spring 1993,,,Special Events ,,,Liv Wright ,"Legacy Of The Modern School, Memory, Outreach, Mildred L. Johnson",Mildred L. Johnson,,1,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright005/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright005/full/1140,/0/default.jpg",/img/derivatives/iiif/wright005/manifest.json
cb001,Photograph of a Christmas Festival at the Audobon Ballroom ,Four students stand on stage performing a festive show in the Audubon Ballroom.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,10,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb001/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb001/full/1140,/0/default.jpg",/img/derivatives/iiif/cb001/manifest.json
cb002,Photograph of ceremony at The Modern School,A student recieves a diploma from a teacher at The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,Ceremony,,,11,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb002/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb002/full/1140,/0/default.jpg",/img/derivatives/iiif/cb002/manifest.json
cb003,Photograph of children during the Christmas Festival,Two toddlers dressed in white are accompanied by a teacher on stage during a Christmas festival perfomance at The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,12,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb003/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb003/full/1140,/0/default.jpg",/img/derivatives/iiif/cb003/manifest.json
cb004,Photograph of class of young children performing on stage with teacher,A class of toddlers dressed in white perform at Christmas festival in The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,13,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb004/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb004/full/1140,/0/default.jpg",/img/derivatives/iiif/cb004/manifest.json
cb005,Photograph of end of Christmas performance,All the children performers hold hands on stage to wrap up the Christmas festival.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,14,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb005/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb005/full/1140,/0/default.jpg",/img/derivatives/iiif/cb005/manifest.json
cb006,Photograph of numerous student performers during a Christmas show,Students performers captured mid-scene during a school show.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts ",,,15,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb006/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb006/full/1140,/0/default.jpg",/img/derivatives/iiif/cb006/manifest.json
cb007,Photograph of anual class photo of Grade 5,"A class photo of Class 5 which includes a co-educational class of black students with their teacher, Ms. Gloria B. Gwyn.",1970,,,Photograph,,,Cami Bethea,"Black Teacher, Class Photo, Co-Educational Classroom",,,16,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb007/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb007/full/1140,/0/default.jpg",/img/derivatives/iiif/cb007/manifest.json
cb008,Photograph of a graduation,A group of students sit on stage during a graduation ceremony.,1964-1971,,,Photograph,,,Cami Bethea,"Ceremony, School as Community, Success",,,17,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb008/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb008/full/1140,/0/default.jpg",/img/derivatives/iiif/cb008/manifest.json
cb009,Photograph of Dolares WIlliams and five students,A teacher sits on a park bench with five of her students who are holding dolls at a playground on 150th street.,1964-1971,,,Photograph,,,Cami Bethea,"Community,  Black history, Harlem, Playground ",,,18,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb009/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb009/full/1140,/0/default.jpg",/img/derivatives/iiif/cb009/manifest.json
cb010,Photograph of a girl at her desk in front of a mural,A student dressed in white sits at desk in front of the school's Manhattan mural.,1964-1971,,,Photograph,,,Cami Bethea,Black girlhood,,,19,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/cb010/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb010/full/1140,/0/default.jpg",/img/derivatives/iiif/cb010/manifest.json
wright018,My Speech,"Cherilyn Wright's 6th grade graduation address, delivered to Mildred L. Johnson, students, and teachers about the importance of gaining knowledge and sharing it as the students graduate and grow up.",16-Jun-59,,,Student Work,,,Liv Wright ,"Ceremony, Graduation, Student Speech ",,"Speech written out: My Speech/ Modern School/ Tuesday June 16, 1959/ Graduation/ Rose Room Auditorium/ Grade Six/ Ballroom/ Candle of Knowledge/ Mildred, parents, teachers, Grade 6- Thank you for intitiating us into the fraternity of knowledge on your level. We shall light this candle with the pride of learning and achieving- as we grow in this knowledge; it is our desire to share it with others, for the real essence of knowledge is having and apllying it to some good purpose. This we resolve to do, and we look forward three years from now, when we are being graduated. This we shall remmember, that It is not important to know (underlined) everything. However, it is important to know the value (underlined) of everything- to appreciate what we learn, and to apply- what we know. This symbol, this candle of knowledge shall ever be the talisman to light our way.",2,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright018/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright018/full/1140,/0/default.jpg",/img/derivatives/iiif/wright018/manifest.json
wright019,The Modern School Graduation Invitation,"A graduation invitation inviting the guest to The Audubon Ballroom at 166th St. and Broadway on June 12, 1962 at 4:30 PM.",12-Jun-62,,,Special Events,,,Liv Wright ,"Audubon Ballroom Ceremony, Graduation",,,3,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright019/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright019/full/1140,/0/default.jpg",/img/derivatives/iiif/wright019/manifest.json
wright20,The Modern School Graduation,"The Modern School's graduation booklet from 1962 which includes the class of 1962, The Modern School's staff, the graduation program, and the school and class songs.",12-Jun-62,,,Special Events,,,Liv Wright ,"Ceremony, Graduation, Programme, School as Community, Arts, ",,,4,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright20_wright020/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright20_wright020/full/1140,/0/default.jpg",/img/derivatives/iiif/wright20/manifest.json
wright023,The Modern School Report Card,"The report card includes Cherilyn Wright's grades from Grade 7 listing the different classes and grades the student recieved during the school term, September 1960- June 1961.",September 1960- June 1961,,,School Documents,,,Liv Wright ,"Curriculum, Quality Education, Report card, Discipline","Elnora B. Sellers, Mildred L. Johnson",,5,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright023/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright023/full/1140,/0/default.jpg",/img/derivatives/iiif/wright023/manifest.json
wright025,The Modern School Report Card,"The report card includes Cherilyn Wright's grades from Grade 8 listing the different classes and grades the student recieved during the school term, September 1961- January1962.","September 18, 1961- January 31, 1962",,,School Documents,,,Liv Wright ,"Report card, Curriculum, Quality Education, Discipline",Elnora B. Sellers,,6,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright025/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright025/full/1140,/0/default.jpg",/img/derivatives/iiif/wright025/manifest.json
wright026,The Modern Scribe February 1957,"The February 1957 school newspaper. The newspaper includes descriptions of the newspaper's staff, a letter to the parents, quotes, school updates, social notes, assembly programs, an opinion pieces on New Year's resolution and  students' favorite subject, the history, student and teacher interview of kewpie dolls, jokes,  and original student poems.",Feb-57,,,School Documents,,,Liv Wright ,"Black History, Poetry, Privilege, Progressive Curriculum, Quality Education, School as Community, School newspaper, Student Writing, The Arts, Camp Dunroven",,,7,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright026_Wright030/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright026_Wright030/full/1140,/0/default.jpg",/img/derivatives/iiif/wright026/manifest.json
wright031,Citywide Spelling Championship,"A pamphlet on New York World Telegram and Sun's 16th annual spellingbee. The competition took place at Town Hall, New York. The pamphlet includes descriptions of the spelling bee, past winners, the prizes and spelling bee officials.",4/27/61,,,Student Documents,,,Liv Wright ,"Love for Learning, Privilege, Quality Education, Exposure",,,8,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright031/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright031/full/1140,/0/default.jpg",/img/derivatives/iiif/wright031/manifest.json
wright034,The Modern School report card [blank],"The report card blank includes the different classes students took, and the qualities and personality traits the students are graded by. ",,,,School Documents,,,Liv Wright,"Black Culture, High Expectations, School Structure, Curriculum, Discipline","Mildred L. Johnson, Cherilyn Liv Wright, Mildred L. Johnson, ",,9,tmsdocmock_item,tmsdocmock,"/img/derivatives/iiif/images/wright034/full/250,/0/default.jpg","/img/derivatives/iiif/images/wright034/full/1140,/0/default.jpg",/img/derivatives/iiif/wright034/manifest.json
